dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-grants,0,5,12,11,7,6,-5,-5,4,2.31,2,1.47,-2,-0.84,6,1.83,6,1.71,0,-0.12,0.08,0.14,0.06,1.09,1.17,0.08,1.0,0.42
ctu-hepatitis,0,3,7,6,4,3,-3,-3,4,1.96,2,1.12,-2,-0.83,3,1.71,3,1.5,0,-0.21,0.14,0.25,0.11,1.17,1.33,0.17,1.0,0.43
ctu-hockey,0,8,22,26,14,13,-8,-13,4,2.08,3,1.87,-1,-0.21,14,2.74,9,2.36,-5,-0.37,0.06,0.07,0.02,0.85,1.08,0.23,1.0,0.36
ctu-imdb,0,2,7,6,5,4,-2,-2,5,2.04,3,1.44,-2,-0.6,3,1.71,3,1.6,0,-0.11,0.14,0.2,0.06,1.17,1.25,0.08,1.0,0.29
ctu-lahman,0,10,25,31,15,16,-10,-15,6,2.6,4,2.31,-2,-0.28,14,2.48,9,2.13,-5,-0.35,0.05,0.08,0.02,0.81,0.94,0.13,1.0,0.4
ctu-legalacts,0,2,5,5,3,3,-2,-2,3,1.44,2,0.89,-1,-0.55,4,2.0,4,2.0,0,0.0,0.25,0.5,0.25,1.0,1.0,0.0,1.0,0.4
ctu-mesh,0,6,29,33,23,23,-6,-10,3,1.93,2,1.83,-1,-0.1,32,2.28,24,2.0,-8,-0.28,0.04,0.05,0.0,0.88,1.0,0.12,1.0,0.21
ctu-mondial,12,7,34,63,17,49,-17,-14,5,2.36,2,1.63,-3,-0.72,25,3.71,23,5.76,-2,2.06,0.06,0.18,0.12,0.54,0.35,-0.19,1.12,0.56
ctu-mooney,0,67,68,134,1,1,-67,-133,2,1.94,0,0.0,-2,-1.94,134,3.94,2,2.0,-132,-1.94,0.03,0.0,-0.03,0.51,1.0,0.49,1.0,0.99
ctu-movielens,0,3,7,6,4,3,-3,-3,4,1.96,2,1.12,-2,-0.83,3,1.71,3,1.5,0,-0.21,0.14,0.25,0.11,1.17,1.33,0.17,1.0,0.43
ctu-musklarge,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-musksmall,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-mutagenesis,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-ncaa,4,2,9,17,3,6,-6,-11,4,1.58,2,0.89,-2,-0.69,11,3.78,7,4.0,-4,0.22,0.24,1.0,0.76,0.53,0.5,-0.03,1.0,0.67
ctu-northwind,1,4,13,13,10,14,-3,1,7,3.15,5,2.14,-2,-1.01,4,2.0,6,2.8,2,0.8,0.08,0.16,0.07,1.0,0.71,-0.29,1.67,0.38
ctu-pima,0,0,9,8,9,8,0,0,2,1.58,2,1.58,0,0.0,8,1.78,8,1.78,0,0.0,0.11,0.11,0.0,1.12,1.12,0.0,,0.0
ctu-premiereleague,1,1,4,5,3,6,-1,1,2,1.0,1,0.67,-1,-0.33,3,2.5,6,4.0,3,1.5,0.42,1.0,0.58,0.8,0.5,-0.3,2.0,0.5
ctu-restbase,0,1,3,3,2,2,-1,-1,1,0.67,1,0.5,0,-0.17,2,2.0,2,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-sakila,2,7,16,22,13,26,-3,4,7,2.83,5,2.1,-2,-0.74,5,2.93,8,4.33,3,1.4,0.09,0.17,0.07,0.73,0.5,-0.23,3.0,0.56
ctu-sales,1,0,4,3,3,3,-1,0,2,1.12,1,0.67,-1,-0.46,3,1.5,2,2.0,-1,0.5,0.25,0.5,0.25,1.33,1.0,-0.33,1.0,0.25
ctu-samegen,0,3,4,6,1,1,-3,-5,2,1.12,0,0.0,-2,-1.12,6,3.0,2,2.0,-4,-1.0,0.5,0.0,-0.5,0.67,1.0,0.33,1.0,0.75
ctu-sap,0,0,5,3,5,3,0,0,2,1.06,2,1.06,0,0.0,3,1.5,3,1.5,0,0.0,0.15,0.15,0.0,1.67,1.67,0.0,,0.0
ctu-satellite,0,32,36,65,4,6,-32,-59,4,1.9,2,1.12,-2,-0.78,34,3.61,7,3.0,-27,-0.61,0.05,0.5,0.45,0.55,0.67,0.11,1.0,0.89
ctu-seznam,0,0,4,3,4,3,0,0,2,1.12,2,1.12,0,0.0,3,1.5,3,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-sfscores,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-shakespeare,0,1,4,3,3,2,-1,-1,3,1.25,2,0.89,-1,-0.36,2,1.5,2,1.33,0,-0.17,0.25,0.33,0.08,1.33,1.5,0.17,1.0,0.25
ctu-stats,1,4,8,13,4,10,-4,-3,3,1.5,3,1.25,0,-0.25,10,3.25,10,5.0,0,1.75,0.23,0.83,0.6,0.62,0.4,-0.22,1.25,0.62
ctu-studentloan,0,1,10,9,9,8,-1,-1,3,1.76,2,1.58,-1,-0.18,8,1.8,8,1.78,0,-0.02,0.1,0.11,0.01,1.11,1.12,0.01,1.0,0.1
ctu-thrombosis,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
ctu-toxicology,1,0,4,5,3,5,-1,0,2,1.0,1,0.67,-1,-0.33,3,2.5,5,3.33,2,0.83,0.42,0.83,0.42,0.8,0.6,-0.2,1.0,0.25
ctu-tpcc,0,3,9,10,7,9,-2,-1,4,1.98,3,1.55,-1,-0.42,3,2.22,3,2.57,0,0.35,0.14,0.21,0.08,0.9,0.78,-0.12,1.5,0.33
ctu-tpcd,0,1,8,8,7,6,-1,-2,4,1.91,3,1.41,-1,-0.5,3,2.0,3,2.0,0,0.0,0.14,0.14,0.0,1.0,1.17,0.17,1.0,0.12
ctu-tpcds,9,4,24,102,17,580,-7,478,4,1.77,2,1.13,-2,-0.64,22,8.5,142,68.24,120,59.74,0.18,2.13,1.95,0.24,0.03,-0.21,1.86,0.54
ctu-tpch,0,2,8,8,7,8,-1,0,4,1.91,3,1.55,-1,-0.36,3,2.0,3,2.29,0,0.29,0.14,0.19,0.05,1.0,0.88,-0.12,2.0,0.25
ctu-triazine,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-uwcse,0,2,4,4,2,2,-2,-2,3,1.25,1,0.5,-2,-0.75,3,2.0,3,2.0,0,0.0,0.33,1.0,0.67,1.0,1.0,0.0,1.0,0.5
ctu-visualgenome,0,2,6,5,4,3,-2,-2,4,1.72,2,1.12,-2,-0.6,3,1.67,3,1.5,0,-0.17,0.17,0.25,0.08,1.2,1.33,0.13,1.0,0.33
ctu-voc,0,0,8,7,8,7,0,0,2,1.53,2,1.53,0,0.0,7,1.75,7,1.75,0,0.0,0.12,0.12,0.0,1.14,1.14,0.0,,0.0
ctu-walmart,0,0,4,3,4,3,0,0,3,1.25,3,1.25,0,0.0,2,1.5,2,1.5,0,0.0,0.25,0.25,0.0,1.33,1.33,0.0,,0.0
ctu-webkp,0,1,3,3,2,2,-1,-1,2,0.89,1,0.5,-1,-0.39,3,2.0,3,2.0,0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.33
ctu-world,0,0,3,2,3,2,0,0,2,0.89,2,0.89,0,0.0,2,1.33,2,1.33,0,0.0,0.33,0.33,0.0,1.5,1.5,0.0,,0.0
